gis_nr,farm_id,bfsnr,gembez,estate_nr,flaeche,blw_nr,blw_name,harvest_date,has_nhg_contract,lz_code,hang_50,hang_reb_0,hang_reb_30,hang_reb_50,einzelkulturbeitrag,outside_canton,bfs_parz,birth,bfsnr_num,has_bff_q2_contract,has_connectivity_contract,has_lqb_contract,region,contribution,used,operating_rate,hang_0,hang_18,hang_35,q1_from,geodb_oid
"42478",0251/ 1/ 29,"0251",Weiningen (ZH),"2409",14,"0712",Christbäume,,0,31,0,0,0,0,N,N,0251_2409,2023,251,N,N,N,Zimmersacherli,J,J,100,13,1,0,,108794
"111396",0133/ 1/ 49,"0295",Horgen,HN12260,53,"0712",Christbäume,,0,41,0,0,0,0,N,N,0295_HN12260,2023,295,N,N,N,Wachholder,J,J,100,53,0,0,,111837
"309819",0052/ 1/ 41,"0052",Bassersdorf,"5001",27,"0712",Christbäume,,0,31,0,0,0,0,N,N,0052_5001,2023,52,N,N,N,Sonnemann,J,J,100,27,0,0,,112825
"121583",0251/ 1/ 29,"0251",Weiningen (ZH),"2974",16,"0712",Christbäume,,0,31,0,0,0,0,N,N,0251_2974,2023,251,N,N,N,Längg,J,J,100,16,0,0,,112897
"11325298",0040/ 1/ 46,"0038",Rheinau,"928",4,"0712",Christbäume,,0,31,0,0,0,0,N,N,0038_928,2023,38,N,N,N,Unterstadt,N,J,100,4,0,0,,114430
"328533",0174/ 1/  5,"0296",Illnau-Effretikon,IE2161,80,"0712",Christbäume,,0,31,0,0,0,0,N,N,0296_IE2161,2023,296,N,N,N,Jungholz,J,J,100,62,16,2,,114636
"265125",0033/ 1/ 55,"0033",Kleinandelfingen,"3248",50,"0712",Christbäume,,0,31,0,0,0,0,N,N,0033_3248,2023,33,N,N,N,Ernibuck,J,J,100,50,0,0,,114655
"365658",0117/ 1/ 28,"0117",Hinwil,"4953",2,"0712",Christbäume,,0,41,2,0,0,0,N,N,0117_4953,2023,117,N,N,N,Dickenmatt,J,J,100,0,0,0,,114764
"327725",0178/ 1/ 40,"0178",Russikon,"2379",5,"0712",Christbäume,,0,31,0,0,0,0,N,N,0178_2379,2023,178,N,N,N,Guggu,J,J,100,4,1,0,,115011
"11380827",0055/ 1/ 33,"0055",Eglisau,"3249",4,"0712",Christbäume,,0,31,0,0,0,0,N,N,0055_3249,2023,55,N,N,N,Ifang,J,J,100,0,4,0,,115660
"87327",0100/ 1/ 68,"0100",Stadel,"1311",14,"0712",Christbäume,,0,31,0,0,0,0,N,N,0100_1311,2023,100,N,N,N,Christbäume,J,J,100,12,2,0,,116653
"343194",0261/ 1/999,"0064",Nürensdorf,"2161",53,"0712",Christbäume,,0,31,0,0,0,0,N,N,0064_2161,2023,64,N,N,N,Halden,J,J,100,24,29,0,,118735
"104719",0142/ 1/ 48,"0293",Wädenswil,WE13313,2,"0712",Christbäume,,0,31,0,0,0,0,N,N,0293_WE13313,2023,293,N,N,N,"18",J,J,100,2,0,0,,119436
"100094",0117/ 1/ 28,"0117",Hinwil,"8185",38,"0712",Christbäume,,0,41,0,0,0,0,N,N,0117_8185,2023,117,N,N,N,Nauen,J,J,100,36,2,0,,119997
"361801",0195/ 1/151,"0195",Maur,"2292",18,"0712",Christbäume,,0,31,0,0,0,0,N,N,0195_2292,2023,195,N,N,N,Breiti,J,J,100,17,1,0,,120853
"358912",0251/ 1/ 29,"0251",Weiningen (ZH),"2974",9,"0712",Christbäume,,0,31,0,0,0,0,N,N,0251_2974,2023,251,N,N,N,Längg,J,J,100,9,0,0,,120817
"111248",0133/ 1/ 49,"0295",Horgen,HN2766,52,"0712",Christbäume,,0,41,0,0,0,0,N,N,0295_HN2766,2023,295,N,N,N,ob Scheune,J,J,100,52,0,0,,121006
"335551",0261/ 1/999,"0063",Lufingen,"538",22,"0712",Christbäume,,0,31,0,0,0,0,N,N,0063_538,2023,63,N,N,N,Schlattwinkel,J,J,100,22,0,0,,121186
